ENST00000000233	P84085	ARF5_HUMAN
ENST00000155926	Q92519	TRIB2_HUMAN
ENST00000156109	Q92917	GPKOW_HUMAN
ENST00000156471	O60306	AQR_HUMAN
ENST00000156499	A0A1R3UHJ7	A0A1R3UHJ7_HUMAN
ENST00000156626	Q9NSC7	SIA7A_HUMAN
ENST00000157600	Q9NZU5	LMCD1_HUMAN
ENST00000157812	P43686	PRS6B_HUMAN
ENST00000158009	Q8TC99	FNDC8_HUMAN
ENST00000158762	Q15027	ACAP1_HUMAN
ENST00000158771	Q9GZP9	DERL2_HUMAN
ENST00000159060	Q9HBY0	NOX3_HUMAN
ENST00000159087	Q9HCE9	ANO8_HUMAN
ENST00000159111	A0A0C4DFL8	A0A0C4DFL8_HUMAN
ENST00000160262	P32942	ICAM3_HUMAN
ENST00000160373	Q8WZ74	CTTB2_HUMAN
ENST00000160382	O94805	ACL6B_HUMAN
ENST00000160827	Q14807	KIF22_HUMAN
ENST00000161006	Q9GZN4	BSSP4_HUMAN
ENST00000161559	P13688	CEAM1_HUMAN
ENST00000161863	Q9H6S0	YTDC2_HUMAN
ENST00000162044	Q9NX61	T161A_HUMAN
ENST00000162391	Q9P0K8	FOXJ2_HUMAN
ENST00000162749	P19438	TNR1A_HUMAN
ENST00000163416	Q8TBA6	GOGA5_HUMAN
ENST00000164024	Q9NYQ7	CELR3_HUMAN
ENST00000164133	Q15173	2A5B_HUMAN
ENST00000164139	P11217	PYGM_HUMAN
ENST00000164227	P20749	BCL3_HUMAN
ENST00000164305	Q92521	PIGB_HUMAN
ENST00000165524	P81277	PRRP_HUMAN
ENST00000165698	Q9H902	REEP1_HUMAN
ENST00000166139	O95633	FSTL3_HUMAN
ENST00000166244	P29322	EPHA8_HUMAN
ENST00000166345	Q15645	PCH2_HUMAN
ENST00000167106	Q7L8A9	VASH1_HUMAN
ENST00000167586	P02533	K1C14_HUMAN
ENST00000167588	P35900	K1C20_HUMAN
ENST00000168216	Q99714	HCD2_HUMAN
ENST00000168712	P08620	FGF4_HUMAN
ENST00000169298	P15907	SIAT1_HUMAN
ENST00000169551	Q9BVV7	TIM21_HUMAN
ENST00000170150	Q8N4F0	BPIB2_HUMAN
ENST00000170168	Q8N1G1	REXO1_HUMAN
ENST00000170447	Q9H000	MKRN2_HUMAN
ENST00000170564	Q9BRR8	GPTC1_HUMAN
ENST00000171111	Q14145	KEAP1_HUMAN
ENST00000171757	O00398	P2Y10_HUMAN
ENST00000172229	P08138	TNR16_HUMAN
ENST00000173229	O95631	NET1_HUMAN
ENST00000173527	Q96CN7	ISOC1_HUMAN
ENST00000174618	Q99583	MNT_HUMAN
ENST00000174653	P53677	AP3M2_HUMAN
ENST00000175091	Q15012	LAP4A_HUMAN
ENST00000175238	Q9H2U9	ADAM7_HUMAN
ENST00000175756	Q99952	PTN18_HUMAN
ENST00000176183	P21917	DRD4_HUMAN
ENST00000176195	P09683	SECR_HUMAN
ENST00000176763	O94804	STK10_HUMAN
ENST00000177694	Q9UL17	TBX21_HUMAN
ENST00000178640	Q13163	MP2K5_HUMAN
ENST00000179259	Q9NQ88	TIGAR_HUMAN
ENST00000180166	Q9NP95	FGF20_HUMAN
ENST00000180173	Q9Y216	MTMR7_HUMAN
ENST00000181383	Q96IY4	CBPB2_HUMAN
ENST00000181839	Q14004	CDK13_HUMAN
ENST00000182290	Q96QS1	TSN32_HUMAN
ENST00000182527	Q15035	TRAM2_HUMAN
ENST00000184266	O95168	NDUB4_HUMAN
ENST00000184956	Q6AI08	HEAT6_HUMAN
ENST00000185150	Q96DZ1	ERLEC_HUMAN
ENST00000186436	Q92545	TM131_HUMAN
ENST00000187397	Q9UBL0	ARP21_HUMAN
ENST00000187762	Q9H6F2	TM38A_HUMAN
ENST00000188312	Q9GZN1	ARP6_HUMAN
ENST00000188790	Q12884	SEPR_HUMAN
ENST00000190165	Q9NQL9	DMRT3_HUMAN
ENST00000192314	Q9H3Q3	G3ST2_HUMAN
ENST00000192788	Q6BDS2	URFB1_HUMAN
ENST00000193322	Q86WC4	OSTM1_HUMAN
ENST00000193391	Q9BZV3	IMPG2_HUMAN
ENST00000194130	Q9BZW2	S13A1_HUMAN
ENST00000194152	Q9Y5E5	PCDB4_HUMAN
ENST00000194155	Q9Y5E7	PCDB2_HUMAN
ENST00000194214	Q9Y547	IFT25_HUMAN
ENST00000194530	Q9C0K7	STRAB_HUMAN
ENST00000194900	Q5JUW8	Q5JUW8_HUMAN
ENST00000196061	Q02809	PLOD1_HUMAN
ENST00000196371	P55809	SCOT1_HUMAN
ENST00000196489	Q9BWM5	ZN416_HUMAN
ENST00000197268	A2RU67	F234B_HUMAN
ENST00000198536	Q9UKJ1	PILRA_HUMAN
ENST00000198767	Q9NYV6	RRN3_HUMAN
ENST00000198801	Q3SYC2	MOGT2_HUMAN
ENST00000199280	P41181	AQP2_HUMAN
ENST00000199320	Q9UNQ2	DIM1_HUMAN
ENST00000199389	Q9BQI3	E2AK1_HUMAN
ENST00000199447	Q8N427	TXND3_HUMAN
ENST00000199708	P09105	HBAT_HUMAN
ENST00000199764	P40199	CEAM6_HUMAN
ENST00000199814	Q9NW64	RBM22_HUMAN
ENST00000199936	P37059	DHB2_HUMAN
ENST00000200135	O43264	ZW10_HUMAN
ENST00000200453	O75807	PR15A_HUMAN
ENST00000200457	Q15654	TRIP6_HUMAN
ENST00000200557	O75078	ADA11_HUMAN
ENST00000200652	Q9H015	S22A4_HUMAN
ENST00000200676	P11597	CETP_HUMAN
ENST00000200691	P25713	MT3_HUMAN
ENST00000201015	P12272	PTHR_HUMAN
ENST00000201031	Q92754	AP2C_HUMAN
ENST00000201586	O00204	ST2B1_HUMAN
ENST00000201647	Q8TE68	ES8L1_HUMAN
ENST00000201979	O75628	REM1_HUMAN
ENST00000202017	Q9NUG6	PDRG1_HUMAN
ENST00000202556	Q96KQ4	ASPP1_HUMAN
ENST00000202625	O95932	TGM3L_HUMAN
ENST00000202677	Q2PPJ7	RGPA2_HUMAN
ENST00000202773	Q02878	RL6_HUMAN
ENST00000202816	Q9H501	ESF1_HUMAN
ENST00000202831	Q6J4K2	NCLX_HUMAN
ENST00000202834	Q96A57	TM230_HUMAN
ENST00000202967	Q9Y6E7	SIR4_HUMAN
ENST00000203001	Q9UJA5	TRM6_HUMAN
ENST00000203166	O94927	HAUS5_HUMAN
ENST00000203407	P31930	QCR1_HUMAN
ENST00000203556	Q9P107	GMIP_HUMAN
ENST00000203629	P18627	LAG3_HUMAN
ENST00000203664	Q96DC9	OTUB2_HUMAN
ENST00000204517	Q01664	TFAP4_HUMAN
ENST00000204549	Q8N8D1	PDCD7_HUMAN
ENST00000204566	Q9NZD8	SPG21_HUMAN
ENST00000204604	Q9H2X0	CHRD_HUMAN
ENST00000204679	Q9UJJ9	GNPTG_HUMAN
ENST00000204726	Q08378	GOGA3_HUMAN
ENST00000204961	P98172	EFNB1_HUMAN
ENST00000205194	Q8WUY8	NAT14_HUMAN
ENST00000205214	Q4L235	ACSF4_HUMAN
ENST00000205402	P09622	DLDH_HUMAN
ENST00000205557	O95255	MRP6_HUMAN
ENST00000205636	Q9NX76	CKLF6_HUMAN
ENST00000205948	P02749	APOH_HUMAN
ENST00000206020	O75391	SPAG7_HUMAN
ENST00000206262	Q9UGC6	RGS17_HUMAN
ENST00000206423	Q76M96	CCD80_HUMAN
ENST00000206451	Q06323	PSME1_HUMAN
ENST00000206474	Q9H6D7	HAUS4_HUMAN
ENST00000206513	Q15744	CEBPE_HUMAN
ENST00000206542	Q9NPF4	OSGEP_HUMAN
ENST00000206595	Q7L622	G2E3_HUMAN
ENST00000206765	P22735	TGM1_HUMAN
ENST00000207457	Q9UIF3	TEKT2_HUMAN
ENST00000207549	Q70J99	UN13D_HUMAN
ENST00000207870	O75191	XYLB_HUMAN
ENST00000209668	P07327	ADH1A_HUMAN
ENST00000209718	Q9C075	K1C23_HUMAN
ENST00000209728	Q99741	CDC6_HUMAN
ENST00000209873	Q9NRG9	AAAS_HUMAN
ENST00000209875	P45973	CBX5_HUMAN
ENST00000209884	Q9Y2M5	KLH20_HUMAN
ENST00000209929	Q99518	FMO2_HUMAN
ENST00000210060	P49366	DHYS_HUMAN
ENST00000210187	Q9ULW5	RAB26_HUMAN
ENST00000210313	Q16401	PSMD5_HUMAN
ENST00000210444	Q9NR45	SIAS_HUMAN
ENST00000210633	Q9NTN9	SEM4G_HUMAN
ENST00000211076	Q9BZJ3	TRYD_HUMAN
ENST00000211122	Q16772	GSTA3_HUMAN
ENST00000211287	O15264	MK13_HUMAN
ENST00000211314	Q9Y6G1	TM14A_HUMAN
ENST00000211379	P46379	BAG6_HUMAN
ENST00000211413	Q99946	PRRT1_HUMAN
ENST00000211936	Q99676	ZN184_HUMAN
ENST00000211998	P18206	VINC_HUMAN
ENST00000212015	Q96EB6	SIR1_HUMAN
ENST00000212355	Q03167	TGBR3_HUMAN
ENST00000214869	Q13445	TMED1_HUMAN
ENST00000215061	Q9H607	OCEL1_HUMAN
ENST00000215071	P48556	PSMD8_HUMAN
ENST00000215095	P61266	STX1B_HUMAN
ENST00000215115	Q8WUZ0	BCL7C_HUMAN
ENST00000215368	O43921	EFNA2_HUMAN
ENST00000215530	Q9HCT0	FGF22_HUMAN
ENST00000215531	O75264	SIM24_HUMAN
ENST00000215539	P35858	ALS_HUMAN
ENST00000215555	Q9P0N8	MARH2_HUMAN
ENST00000215565	P17568	NDUB7_HUMAN
ENST00000215567	Q9NZ01	TECR_HUMAN
ENST00000215570	Q9Y5L4	TIM13_HUMAN
ENST00000215574	P49427	UB2R1_HUMAN
ENST00000215582	Q8IVT2	MISP_HUMAN
ENST00000215631	O75293	GA45B_HUMAN
ENST00000215637	Q13477	MADCA_HUMAN
ENST00000215659	P53778	MK12_HUMAN
ENST00000215727	P05546	HEP2_HUMAN
ENST00000215730	O95721	SNP29_HUMAN
ENST00000215742	Q9BT49	THAP7_HUMAN
ENST00000215743	P24347	MMP11_HUMAN
ENST00000215754	P14174	MIF_HUMAN
ENST00000215770	A6NHG4	DDTL_HUMAN
ENST00000215781	P13725	ONCM_HUMAN
ENST00000215790	Q9BXI6	TB10A_HUMAN
ENST00000215793	Q15459	SF3A1_HUMAN
ENST00000215794	Q9UMW8	UBP18_HUMAN
ENST00000215829	P62318	SMD3_HUMAN
ENST00000215832	P28482	MK01_HUMAN
ENST00000215838	P20062	TCO2_HUMAN
ENST00000215855	P26998	CRBB3_HUMAN
ENST00000215882	P53007	TXTP_HUMAN
ENST00000215885	Q9NZ20	PA2G3_HUMAN
ENST00000215886	P05162	LEG2_HUMAN
ENST00000215904	Q96GD0	PLPP_HUMAN
ENST00000215906	Q6ICH7	ASPH2_HUMAN
ENST00000215909	P09382	LEG1_HUMAN
ENST00000215912	Q96FE7	P3IP1_HUMAN
ENST00000215917	Q9UH36	SRR1L_HUMAN
ENST00000215957	Q8N3F8	MILK1_HUMAN
ENST00000215980	Q9NSP4	CENPM_HUMAN
ENST00000216014	O43731	ERD23_HUMAN
ENST00000216024	Q14565	DMC1_HUMAN
ENST00000216027	Q8IWL3	HSC20_HUMAN
ENST00000216029	Q9Y3M2	CBY1_HUMAN
ENST00000216034	Q9NS69	TOM22_HUMAN
ENST00000216036	Q9UHP6	RSP14_HUMAN
ENST00000216038	Q9Y3I0	RTCB_HUMAN
ENST00000216039	Q15040	JOS1_HUMAN
ENST00000216044	O00178	GTPB1_HUMAN
ENST00000216068	O96015	DNAL4_HUMAN
ENST00000216071	O95567	CV031_HUMAN
ENST00000216075	Q9UGB7	MIOX_HUMAN
ENST00000216085	Q9Y3P4	RHBD3_HUMAN
ENST00000216099	Q96AK3	ABC3D_HUMAN
ENST00000216101	Q92737	RSLAA_HUMAN
ENST00000216106	Q9UGU5	HMGX4_HUMAN
ENST00000216115	Q13323	BIK_HUMAN
ENST00000216117	P09601	HMOX1_HUMAN
ENST00000216121	Q9BPW8	NIPS1_HUMAN
ENST00000216122	P33992	MCM5_HUMAN
ENST00000216124	A0A0C4DFZ2	A0A0C4DFZ2_HUMAN
ENST00000216127	Q96D21	RHES_HUMAN
ENST00000216129	Q14166	TTL12_HUMAN
ENST00000216133	O95931	CBX7_HUMAN
ENST00000216139	P10323	ACRO_HUMAN
ENST00000216144	Q86V35	CABP7_HUMAN
ENST00000216146	P39023	RL3_HUMAN
ENST00000216160	Q15750	TAB1_HUMAN
ENST00000216180	Q9NST1	PLPL3_HUMAN
ENST00000216181	P35579	MYH9_HUMAN
ENST00000216185	Q99757	THIOM_HUMAN
ENST00000216190	O15371	EIF3D_HUMAN
ENST00000216200	P20472	PRVA_HUMAN
ENST00000216211	O75631	UPK3A_HUMAN
ENST00000216214	Q9NWS6	F118A_HUMAN
ENST00000216218	P50502	F10A1_HUMAN
ENST00000216223	P14784	IL2RB_HUMAN
ENST00000216225	P62877	RBX1_HUMAN
ENST00000216237	Q969R5	LMBL2_HUMAN
ENST00000216241	Q6NUI6	CHADL_HUMAN
ENST00000216252	Q7RTV0	PHF5A_HUMAN
ENST00000216259	Q92871	PMM1_HUMAN
ENST00000216264	Q8TCT0	CERK1_HUMAN
ENST00000216268	O75132	ZBED4_HUMAN
ENST00000216271	Q969S8	HDA10_HUMAN
ENST00000216274	Q9Y572	RIPK3_HUMAN
ENST00000216277	P51003	PAPOA_HUMAN
ENST00000216281	P07900	HS90A_HUMAN
ENST00000216286	Q14112	NID2_HUMAN
ENST00000216294	Q16533	SNPC1_HUMAN
ENST00000216297	Q9Y5B9	SP16H_HUMAN
ENST00000216330	Q00688	FKBP3_HUMAN
ENST00000216336	P08311	CATG_HUMAN
ENST00000216338	P20718	GRAH_HUMAN
ENST00000216341	P10144	GRAB_HUMAN
ENST00000216367	P56282	DPOE2_HUMAN
ENST00000216373	Q07890	SOS2_HUMAN
ENST00000216410	Q96EK6	GNA1_HUMAN
ENST00000216416	O95406	CNIH1_HUMAN
ENST00000216420	Q99675	CGRF1_HUMAN
ENST00000216442	Q9Y5K8	VATD_HUMAN
ENST00000216446	Q9NYT0	PLEK2_HUMAN
ENST00000216452	Q14442	PIGH_HUMAN
ENST00000216455	P25788	PSA3_HUMAN
ENST00000216465	A0A0C4DFM0	A0A0C4DFM0_HUMAN
ENST00000216468	Q6PL24	TMED8_HUMAN
ENST00000216471	Q9P1V8	SAM15_HUMAN
ENST00000216479	O95433	AHSA1_HUMAN
ENST00000216484	O15270	SPTC2_HUMAN
ENST00000216487	Q8TB24	RIN3_HUMAN
ENST00000216489	Q13686	ALKB1_HUMAN
ENST00000216492	P10645	CMGA_HUMAN
ENST00000216500	Q9Y394	DHRS7_HUMAN
ENST00000216513	Q9UIU6	SIX4_HUMAN
ENST00000216540	Q14973	NTCP_HUMAN
ENST00000216554	P55010	IF5_HUMAN
ENST00000216629	P46663	BKRB1_HUMAN
ENST00000216639	Q99986	VRK1_HUMAN
ENST00000216727	Q86U42	PABP2_HUMAN
ENST00000216733	O43281	EFS_HUMAN
ENST00000216756	Q9BW66	CINP_HUMAN
ENST00000216780	Q16822	PCKGM_HUMAN
ENST00000216797	P25963	IKBA_HUMAN
ENST00000216799	Q9Y3B6	EMC9_HUMAN
ENST00000216802	Q9UL46	PSME2_HUMAN
ENST00000216807	Q5PSV4	BRM1L_HUMAN
ENST00000216832	Q9H307	PININ_HUMAN
ENST00000216840	Q92696	PGTA_HUMAN
ENST00000216862	Q07973	CP24A_HUMAN
ENST00000216879	Q9UNZ2	NSF1C_HUMAN
ENST00000216962	P11216	PYGB_HUMAN
ENST00000216968	Q9UNN8	EPCR_HUMAN
ENST00000217026	P10244	MYBB_HUMAN
ENST00000217043	Q9H3Y0	CRSPL_HUMAN
ENST00000217086	Q9UJQ4	SALL4_HUMAN
ENST00000217109	Q05048	CSTF1_HUMAN
ENST00000217131	Q9UBR2	CATZ_HUMAN
ENST00000217133	Q9H4B7	TBB1_HUMAN
ENST00000217159	Q96BD0	SO4A1_HUMAN
ENST00000217169	Q96CA5	BIRC7_HUMAN
ENST00000217173	O94941	RNF37_HUMAN
ENST00000217182	Q05639	EF1A2_HUMAN
ENST00000217188	Q9H3Y6	SRMS_HUMAN
ENST00000217233	Q96RU7	TRIB3_HUMAN
ENST00000217254	Q9NQ40	S52A3_HUMAN
ENST00000217260	Q2I0M5	RSPO4_HUMAN
ENST00000217289	Q9BQL6	FERM1_HUMAN
ENST00000217320	A0PJX2	TLDC2_HUMAN
ENST00000217381	Q13424	SNTA1_HUMAN
ENST00000217386	P01178	NEU1_HUMAN
ENST00000217402	Q9H444	CHM4B_HUMAN
ENST00000217407	P18428	LBP_HUMAN
ENST00000217420	Q9H598	VIAAT_HUMAN
ENST00000217423	P01036	CYTS_HUMAN
ENST00000217426	P23526	SAHH_HUMAN
ENST00000217428	P49223	SPIT3_HUMAN
ENST00000217446	Q9H490	PIGU_HUMAN
ENST00000217455	O14734	ACOT8_HUMAN
ENST00000217456	Q9HDC9	APMAP_HUMAN
ENST00000217740	Q96EQ8	RN125_HUMAN
ENST00000217901	P51553	IDH3G_HUMAN
ENST00000217909	Q8WUT9	S2543_HUMAN
ENST00000217926	Q7Z2G1	H2BWT_HUMAN
ENST00000217939	Q9NR99	MXRA5_HUMAN
ENST00000217958	O75832	PSD10_HUMAN
ENST00000217971	O00264	PGRC1_HUMAN
ENST00000217999	Q8NHV9	RHXF1_HUMAN
ENST00000218006	P51841	GUC2F_HUMAN
ENST00000218032	Q9NR97	TLR8_HUMAN
ENST00000218068	O60829	PAGE4_HUMAN
ENST00000218099	P00740	FA9_HUMAN
ENST00000218104	P33897	ABCD1_HUMAN
ENST00000218147	Q5H9F3	BCORL_HUMAN
ENST00000218176	Q9NSA2	KCND1_HUMAN
ENST00000218230	Q9UHG2	PCS1N_HUMAN
ENST00000218249	P0C0E4	RB40L_HUMAN
ENST00000218316	Q13585	MTR1L_HUMAN
ENST00000218340	O75695	XRP2_HUMAN
ENST00000218348	P51784	UBP11_HUMAN
ENST00000218388	P01033	TIMP1_HUMAN
ENST00000218436	Q6UXX5	ITIH6_HUMAN
ENST00000218516	P06280	AGAL_HUMAN
ENST00000218721	O43193	MTLR_HUMAN
ENST00000218758	P13686	PPA5_HUMAN
ENST00000218867	Q13326	SGCG_HUMAN
ENST00000219022	Q6UX06	OLFM4_HUMAN
ENST00000219066	P78549	NTH_HUMAN
ENST00000219069	O14978	ZN263_HUMAN
ENST00000219070	P08253	MMP2_HUMAN
ENST00000219097	Q9Y5N6	ORC6_HUMAN
ENST00000219139	Q9BSU1	PHAF1_HUMAN
ENST00000219150	P31146	COR1A_HUMAN
ENST00000219162	P47944	MT4_HUMAN
ENST00000219169	P61970	NTF2_HUMAN
ENST00000219197	P23435	CBLN1_HUMAN
ENST00000219204	Q9Y2Y0	AR2BP_HUMAN
ENST00000219207	Q9Y342	PLLP_HUMAN
ENST00000219235	O00626	CCL22_HUMAN
ENST00000219240	Q02127	PYRD_HUMAN
ENST00000219244	Q92583	CCL17_HUMAN
ENST00000219252	P19387	RPB3_HUMAN
ENST00000219255	Q9NPB6	PAR6A_HUMAN
ENST00000219271	P51511	MMP15_HUMAN
ENST00000219281	Q9BQ65	USB1_HUMAN
ENST00000219299	Q9H0I3	CC113_HUMAN
ENST00000219301	Q6PEW0	PRS54_HUMAN
ENST00000219302	Q13232	NDK3_HUMAN
ENST00000219313	P51665	PSMD7_HUMAN
ENST00000219320	Q9NVC3	S38A7_HUMAN
ENST00000219334	Q9NY59	NSMA2_HUMAN
ENST00000219343	Q92536	YLAT2_HUMAN
ENST00000219345	Q8NCC3	PAG15_HUMAN
ENST00000219368	Q7L5A8	FA2H_HUMAN
ENST00000219406	Q13087	PDIA2_HUMAN
ENST00000219409	Q99819	GDIR3_HUMAN
ENST00000219439	Q3SXM5	HSDL1_HUMAN
ENST00000219473	Q14694	UBP10_HUMAN
ENST00000219478	O60304	ZN500_HUMAN
ENST00000219479	O00746	NDKM_HUMAN
ENST00000219481	Q9NUI1	DECR2_HUMAN
ENST00000219548	Q9UNE7	CHIP_HUMAN
ENST00000219596	O15553	MEFV_HUMAN
ENST00000219599	Q14894	CRYM_HUMAN
ENST00000219611	O75808	CAN15_HUMAN
ENST00000219660	O94778	AQP8_HUMAN
ENST00000219689	Q70CQ4	UBP31_HUMAN
ENST00000219746	O15405	TOX3_HUMAN
ENST00000219782	P56270	MAZ_HUMAN
ENST00000219789	O14735	CDIPT_HUMAN
ENST00000219837	Q1ED39	KNOP1_HUMAN
ENST00000219905	Q8IWI9	MGAP_HUMAN
ENST00000219919	O43315	AQP9_HUMAN
ENST00000220003	P41240	CSK_HUMAN
ENST00000220058	Q96DP5	FMT_HUMAN
ENST00000220062	Q9NYN1	RASLC_HUMAN
ENST00000220166	P09668	CATH_HUMAN
ENST00000220244	Q8WUJ3	CEMIP_HUMAN
ENST00000220325	Q9H223	EHD4_HUMAN
ENST00000220420	O43548	TGM5_HUMAN
ENST00000220429	Q06547	GABP1_HUMAN
ENST00000220478	Q8WXD2	SCG3_HUMAN
ENST00000220496	Q9NVM6	DJC17_HUMAN
ENST00000220507	Q96L33	RHOV_HUMAN
ENST00000220509	Q9P253	VPS18_HUMAN
ENST00000220514	O43482	MS18B_HUMAN
ENST00000220531	Q9UL45	BL1S6_HUMAN
ENST00000220562	O43909	EXTL3_HUMAN
ENST00000220592	Q9UKV8	AGO2_HUMAN
ENST00000220597	Q9NWQ8	PHAG1_HUMAN
ENST00000220616	P01266	THYG_HUMAN
ENST00000220659	Q9HAW0	BRF2_HUMAN
ENST00000220669	Q8TCF1	ZFAN1_HUMAN
ENST00000220751	O43353	RIPK2_HUMAN
ENST00000220763	Q9Y646	CBPQ_HUMAN
ENST00000220764	Q16698	DECR_HUMAN
ENST00000220772	Q8N474	SFRP1_HUMAN
ENST00000220809	P00750	TPA_HUMAN
ENST00000220812	Q9UBT3	DKK4_HUMAN
ENST00000220853	Q15006	EMC2_HUMAN
ENST00000220876	Q93045	STMN2_HUMAN
ENST00000220913	Q9NRG0	CHRC1_HUMAN
ENST00000220940	Q99445	GML_HUMAN
